index,BriCond,BriLen,chainage,lat,lon,lrp,type,Object Name,distance
119,,,45.388,23.530666,90.7821938,LRP046b,Road,Road119,754.0857715
120,,,46.161,23.5312216,90.7895552,LRP046c,Road,Road120,119.2718694
121,,,46.269,23.531166,90.7907219,LRP047,Road,Road121,115.6832109
12717,C,6.5,46.871,23.53086834,90.79180752,LRP047a,Bridge,Bridge12717,0
12717,C,,46.871,23.53086834,90.79180752,LRP047a,Output@Bridge,Output@Bridge12717,67.83428692
122,,,47.224,23.5306938,90.7924441,LRP047a,Road,Road122,794.3032232
123,,,47.269,23.5308604,90.8002222,LRP048,Road,Road123,399.8778266
124,,,47.672,23.5308882,90.8041389,LRP048a,Road,Road124,22.89519457
125,,,47.692,23.530916,90.8043611,LRP048b,Road,Road125,572.8562847
126,,,48.269,23.5316382,90.8099167,LRP049,Road,Road126,114.0612595
12718,C,15.9,48.384,23.53182348,90.81101551,LRP049a,Bridge,Bridge12718,0
12718,C,,48.384,23.53182348,90.81101551,LRP049a,Output@Bridge,Output@Bridge12718,877.7705807
127,,,49.269,23.5332493,90.8194716,LRP050,Road,Road127,583.2442802
128,,,49.863,23.5346663,90.8249716,LRP050a,Road,Road128,15.46351957
129,,,49.879,23.5347219,90.8251104,LRP050b,Road,Road129,369.495444
130,,,50.269,23.5344997,90.8287216,LRP051,Road,Road130,286.163597
59,A,12.2,50.558,23.53297433,90.83097748,LRP051a,Bridge,Bridge59,0
59,A,,50.558,23.53297433,90.83097748,LRP051a,Output@Bridge,Output@Bridge59,704.0310063
131,,,51.269,23.5292216,90.8365274,LRP052,Road,Road131,359.5545515
132,,,51.636,23.5270549,90.8391386,LRP052a,Road,Road132,650.1598725
133,,,52.269,23.523166,90.8438886,LRP053,Road,Road133,43.6590665
12719,C,4.5,52.313,23.52291667,90.84421861,LRP053a,Bridge,Bridge12719,0
12719,C,,52.313,23.52291667,90.84421861,LRP053a,Output@Bridge,Output@Bridge12719,948.6046054
134,,,53.269,23.5174993,90.8513889,LRP054,Road,Road134,959.7573114
135,,,54.269,23.5170827,90.8607778,LRP055,Road,Road135,998.0785565
136,,,55.269,23.5135833,90.8697771,LRP056,Road,Road136,62.13292313
137,,,55.333,23.5133056,90.8703049,LRP056a,Road,Road137,40.33912693
138,,,55.375,23.5131111,90.8706382,LRP056b,Road,Road138,93.57368775
139,,,55.477,23.5126667,90.871416,LRP056c,Road,Road139,525.0124841
14607,B,28.9,56.006,23.51008776,90.8757204,LRP056a,Bridge,Bridge14607,0
14607,B,,56.006,23.51008776,90.8757204,LRP056a,Output@Bridge,Output@Bridge14607,261.0202302
140,,,56.269,23.5088056,90.8778604,LRP057,Road,Road140,976.0523634
141,,,57.269,23.506,90.8869163,LRP058,Road,Road141,917.2021814
142,,,58.191,23.5056111,90.8958886,LRP058a,Road,Road142,73.81031536
143,,,58.269,23.5056389,90.8966108,LRP059,Road,Road143,569.5646607
14608,B,5.9,58.838,23.50600243,90.90217454,LRP059a,Bridge,Bridge14608,0
14608,B,,58.838,23.50600243,90.90217454,LRP059a,Output@Bridge,Output@Bridge14608,431.4266722
144,,,59.269,23.5062778,90.9063889,LRP060,Road,Road144,906.7297379
145,,,60.18,23.50575,90.91525,LRP060a,Road,Road145,79.48304359
146,,,60.269,23.5057222,90.9160278,LRP061,Road,Road146,555.4409442
14609,B,3,60.83,23.50561314,90.92146602,LRP061a,Bridge,Bridge14609,0
14609,B,,60.83,23.50561314,90.92146602,LRP061a,Output@Bridge,Output@Bridge14609,434.650186
147,,,61.269,23.5055278,90.9257216,LRP062,Road,Road147,999.6891563
