,index,road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
56,14611,N1,66.178,Slab Culvert,LRP067a,KARON KHAL SLAB CULVERT,4.6,B,101171,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,66.178,8.2,1987.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.495896314,90.9715772516,interpolate
57,61,N1,68.04,Box Culvert,LRP068a,MILL GHAT BOX CULVERT,4.5,A,101175,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,68.04,8.3,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4932728146,90.9887200416,interpolate
58,12722,N1,71.156,RCC Girder Bridge,LRP072a,Chandinan-Shahapara Bridge.,22.55,C,120395,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,71.156,9.2,1986.0,3.0,Comilla,Comilla,Comilla,Gouripur,23.4868805937254,91.017566692647,interpolate
59,14612,N1,74.279,Box Culvert,LRP075a,CORI PAI BOX CULVERT,4.6,B,101180,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,74.279,20.0,1999.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4817873233065,91.0463348850746,interpolate
60,14613,N1,75.312,Box Culvert,LRP076a,COREPAI BOX CULVERT,4.6,B,101183,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,75.312,20.0,1991.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4817498298684,91.0563549686842,interpolate
61,62,N1,76.481,Slab Culvert,LRP077a,NIMSHAR SLAB CULVERT,1.5,A,101189,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,76.481,12.3,1999.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.480613086,91.0674097692,interpolate
62,12723,N1,78.382,Slab Culvert,LRP079a,KABILA DUBARCHAR SLAB CULVERT,1.0,C,101191,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,78.382,12.3,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4776722851,91.0847406393,interpolate
63,14614,N1,80.949,Box Culvert,LRP081a,NAZIRA BOX CULVERT,3.0,B,101196,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,80.949,8.6,1988.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4781159049382,91.1070332074074,interpolate
64,63,N1,82.437,Box Culvert,LRP083a,TIPRA BAZAR BOX CULVERT,1.4,A,101200,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.437,12.2,1993.0,1.0,Comilla,Comilla,Comilla,Gouripur,23.4794083880733,91.1238920825688,interpolate
65,64,N1,82.989,Slab Culvert,LRP083b,AMTOLI SLAB CULVERT,2.9,A,101202,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,82.989,12.0,1985.0,1.0,Comilla,Comilla,Comilla,Comilla,23.479544924,91.129047144,interpolate
66,12724,N1,87.713,RCC Girder Bridge,LRP088a,Dhanpur Bridge,22.85,C,120396,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,87.713,9.2,1988.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4436339598272,91.1493668151188,interpolate
67,14615,N1,91.092,RCC Girder Bridge,LRP092a,PADUAR BAZER RCCGIDER,35.9,B,101209,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,91.092,9.2,1980.0,4.0,Comilla,Comilla,Comilla,Comilla,23.4212487704918,91.1678943372365,interpolate
68,14616,N1,93.6,RCC Girder Bridge,LRP094a,MOSTAPUR RCC GIDER BRIDGE,27.9,B,101213,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,93.6,9.2,1990.0,3.0,Comilla,Comilla,Comilla,Comilla,23.4119324230158,91.1939029849206,interpolate
69,12727,N1,97.257,RCC Girder Bridge,LRP098a,Matigara Bridge,27.35,C,120401,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,97.257,9.2,1995.0,3.0,Comilla,Comilla,Comilla,Comilla,23.3976518197887,91.2234221346859,interpolate
70,68,N1,100.938,RCC Girder Bridge,LRP101a,SUAGAZI RCC GIDER BRIDGE,30.4,A,101220,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,100.938,9.2,1990.0,4.0,Comilla,Comilla,Comilla,Comilla,23.3713647755,91.2450175414999,interpolate
71,12729,N1,103.456,RCC Girder Bridge,LRP104a,Lalbag Bridge.,22.88,C,120405,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,103.456,9.3,1984.0,3.0,Comilla,Comilla,Comilla,Comilla,23.3521636774381,91.2572910746724,interpolate
72,69,N1,104.753,Box Culvert,LRP105a,CHANSIRI BOXCUIVERT,14.3,A,101225,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,104.753,8.5,1974.0,3.0,Comilla,Comilla,Comilla,Comilla,23.342671472,91.264485636,interpolate
73,70,N1,106.519,Box Culvert,LRP107a,MIABAZAR BOX CULVERT,24.0,A,101227,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,106.519,10.4,1974.0,5.0,Comilla,Comilla,Comilla,Comilla,23.3301462324,91.2748792824,interpolate
74,71,N1,108.125,Box Culvert,LRP109a,NOYA BAZER BOX CULVERT,9.2,A,101230,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,108.125,11.5,1990.0,2.0,Comilla,Comilla,Comilla,Comilla,23.3180696869138,91.2830867321701,interpolate
75,14617,N1,109.289,Box Culvert,LRP110a,DOLL BARI CULVERT,19.2,B,101130,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,109.289,8.6,1979.0,4.0,Comilla,Comilla,Comilla,Comilla,23.3083612731261,91.2865787034735,interpolate
76,14618,N1,109.897,Slab Culvert,LRP110c,DHARMA PUR SLAB CULVERT,2.6,B,101131,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,109.897,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.3034306450331,91.2889770397351,interpolate
77,72,N1,110.551,Box Culvert,LRP111a,LALGORE BEZER CULVERT,3.2,A,101135,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,110.551,12.2,1986.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2979675271676,91.2910141369942,interpolate
78,73,N1,111.509,Box Culvert,LRP112a,SUPUYA BOX CULVERT,13.4,A,101138,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,111.509,8.4,1986.0,3.0,Comilla,Comilla,Comilla,Comilla,23.2897066386454,91.2929584711155,interpolate
79,14619,N1,112.469,Box Culvert,LRP113a,BOWCHI BAZAR CULVERT,4.6,B,101141,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,112.469,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2821949258397,91.2966655096899,interpolate
80,14620,N1,113.717,Box Culvert,LRP114a,AMAN GONG SLAB CULVERT,6.3,B,101146,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,113.717,12.2,1992.0,2.0,Comilla,Comilla,Comilla,Comilla,23.27301895,91.3029661882,interpolate
81,14621,N1,115.052,Box Culvert,LRP116a,RANGAMATIA (1) BOX CULVERT,3.0,B,101148,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,115.052,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2618360940594,91.3070217386138,interpolate
82,14622,N1,115.326,Slab Culvert,LRP116b,RANGOWATIA 2 CULVERT,3.0,B,101155,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,115.326,11.8,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.25941665,91.3073611,interpolate
83,14623,N1,115.525,Box Culvert,LRP116c,NOWA PARA BOX CULVERT,3.6,B,101161,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,115.525,12.2,1991.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2576429774881,91.3076156494075,interpolate
84,14624,N1,116.074,Box Culvert,LRP117a,HARISHARDE CULVERT,4.5,B,101168,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,116.074,12.2,1984.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2527463398104,91.3083926405213,interpolate
85,14625,N1,117.087,Box Culvert,LRP118a,SONAGATI BOX CULVERT,2.5,B,101176,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,117.087,11.6,1992.0,1.0,Comilla,Comilla,Comilla,Comilla,23.2443915125925,91.3114032292592,interpolate
86,14626,N1,117.269,Box Culvert,LRP118b,BALUJURI BOX CULVERT,19.2,B,101182,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,117.269,8.4,1988.0,4.0,Comilla,Comilla,Comilla,Comilla,23.2429040619631,91.3119739539877,interpolate
